State,Cemetery Name,Address,Longitude,Latitude,Contact,Burial Space
Alabama,Alabama National Cemetery,"3133 Highway 119, Montevallo, AL 35115",-86.8372793,33.1324266,"Phone: 205-665-9039, FAX: 205-665-7790",Open
Alabama,Fort Mitchell National Cemetery,"553 Highway 165, Ft. Mitchell, AL 36856",-85.0237352,32.3463544,"Phone: 334-855-4731, FAX: 334-855-4470",Open
Alabama,Mobile National Cemetery,"1202 Virginia Street, Mobile, AL 36604",-88.06261,30.672792,"Phone: 850-453-4846 Or 850-453-4108, FAX: 850-453-4635",Closed
Alaska,Fort Richardson National Cemetery,"Bldg 58-512 Davis Hwy, Fort Richardson, AK 99505",-149.6581053,61.27227,"Phone: 907-384-7075, FAX: 907-384-7111",Open
Alaska,Sitka National Cemetery,"803 Sawmill Creek Road, Sitka, AK 99835",-135.3212042,57.0538351,"Phone: 907-384-7075, FAX: 907-384-7111",Open
Arizona,National Memorial Cemetery of Arizona,"23029 North Cave Creek Road, Phoenix, AZ 85024",-112.0279352,33.6961191,"Phone: 480-513-3600, FAX: 480-513-1412",Open
Arizona,Prescott National Cemetery,"500 Highway 89 North, Prescott, AZ 86313",-112.4526516,34.5545599,"Phone: 928-717-7569, FAX: 928-717-7570",Cremation Only
Arkansas,Fayetteville National Cemetery,"700 Government Avenue, Fayetteville, AR 72701",-94.1677592,36.0559291,"Phone: 479-442-2566, FAX: 479-442-3046",Open
Arkansas,Fort Smith National Cemetery,"522 Garland Avenue and South 6th Street, Fort Smith, AR 72901",-94.4274705,35.3846312,"Phone: 479-783-5345, FAX: 479-785-4189",Open
Arkansas,Little Rock National Cemetery,"2523 Springer Boulevard, Little Rock, AR 72206",-92.2590195,34.7234532,"Phone: 479-783-5345, FAX: 479-785-4189",Closed
California,Bakersfield National Cemetery,"30338 East Bear Mountain Blvd., Arvin, CA 93203",-118.6693004,35.2559548,"Phone: 661-867-2250 Or 866-632-1845, FAX: 661-867-2253",Open
California,Fort Rosecrans National Cemetery,"Cabrillo Memorial Drive, San Diego, CA 92106",-117.2450538,32.6905554,"Phone: 619-553-2084, FAX: 619-553-6593",Closed
California,Golden Gate National Cemetery,"1300 Sneath Lane, San Bruno, CA 94066",-122.42892,37.633385,"Phone: 650-589-7737, FAX: 650-873-6578",Closed
California,Los Angeles National Cemetery,"950 S Sepulveda Blvd., Los Angeles, CA 90049",-118.4549463,34.0605777,"Phone: 310-268-4675, FAX: 310-268-3257",Closed
California,Miramar National Cemetery,"5795 Nobel Drive, San Diego, CA 92122",-117.1903604,32.8717245,"Phone: 858-658-7360, FAX: 858-658-7397",Open
California,Riverside National Cemetery,"22495 Van Buren Blvd., Riverside, CA 92518",-117.2781538,33.8849095,"Phone: 951-653-8417, FAX: 951-653-5233",Open
California,Sacramento Valley National Cemetery,"5810 Midway Road, Dixon, CA 95620",-121.8739412,38.4137951,"Phone: 707-693-2460, FAX: 707-693-2479",Open
California,San Francisco National Cemetery,"1 Lincoln Boulevard, Presidio of San Francisco, San Francisco, CA 94129",-122.4628142,37.8011386,"Phone: 650-589-7737, FAX: 650-873-6578",Closed
California,San Joaquin Valley National Cemetery,"32053 W McCabe Rd., Santa Nella, CA 95322",-121.0786541,37.1141786,"Phone: 209-854-1040, FAX: 209-854-3944",Open
Colorado,Fort Logan National Cemetery,"4400 W. Kenyon Ave., Denver, CO 80236",-105.0421813,39.6488972,"Phone: 303-761-0117, FAX: 303-781-9378",Open
